(9399,54425,7)
(57174,53014,8)
(13361,28940,17)
(15842,38025,3)
(5144,31798,9)
(37037,10322,9)
(28029,54153,11)
(59895,12994,13)
(49949,24721,1)
(41629,36038,9)
(19272,25629,6)
(40607,24604,6)
(3281,43895,10)
(5758,42416,9)
(13046,43102,6)
(17019,58473,15)
(44276,26439,6)
(20574,34381,4)
(58401,25178,14)
(8100,9966,6)
(27686,49614,6)
(54151,390,7)
(31195,40635,1)
(11371,46755,7)
(30352,30991,5)
(46994,14948,7)
(40746,32224,1)
(109,40800,11)
(55038,15911,11)
(32183,30283,10)
(23858,22144,5)
(27041,25889,10)
(4996,37631,5)
(25227,55628,4)
(2439,20546,13)
(13539,10697,10)
(37432,14810,3)
(31312,15761,9)
(41817,3214,16)
(9063,53605,14)
(25594,9935,15)
(49072,44335,4)
(31299,55063,18)
(59815,30710,5)
(49843,34334,5)
(12506,39374,8)
(54792,34460,15)
(10423,48073,10)
(28925,21264,6)
(41807,53754,6)
(25691,54198,10)
(14113,11795,4)
(1670,37918,7)
(10186,19317,17)
(19293,3518,13)
(31394,14804,15)
(54638,26999,7)
(51194,3749,15)
(18524,35729,7)
(33055,31601,10)
(19194,7916,10)
(54420,59257,12)
(6509,34818,15)
(35926,23937,10)
(25459,51915,5)
(38233,5626,16)
(13690,17700,10)
(11963,38685,13)
(3033,39803,8)
(46245,25406,6)
(25160,5734,11)
(54246,841,11)
(11053,18933,11)
(39177,38537,13)
(28583,30335,2)
(34763,9194,8)
(27770,42663,7)
(6915,32737,12)
(52456,12472,6)
(51996,50008,15)
(33881,24300,11)
(19777,17049,8)
(20526,9701,6)
(48684,53088,10)
(27952,42604,10)
(35979,2378,11)
(10830,43965,3)
(14602,14237,10)
(39092,21006,10)
(14902,40276,9)
(49689,9090,11)
(45608,32654,2)
(58858,48174,3)
(16682,22226,7)
(35940,12825,17)
(19681,38997,10)
(23051,54292,9)
(35981,4760,13)
(1791,44583,3)
(20041,49643,3)
(30798,33410,13)
(30723,333,15)
(16837,27406,9)
(18053,6872,10)
(45009,58644,6)
(26859,24968,2)
(19816,2206,5)
(2355,17462,1)
(7928,39236,8)
(9897,49610,3)
(17790,45518,10)
(10090,42192,11)
(31282,40117,8)
(8032,39216,3)
(1628,34737,4)
(29798,47427,17)
(10188,51001,2)
(58587,17945,5)
(22241,27895,9)
(55649,40191,9)
(42093,10616,3)
(9534,47392,14)
(25129,19335,4)
(46836,21165,16)
(34589,36224,14)
(10068,23047,4)
(25216,54866,11)
(53795,54218,12)
(33855,5417,14)
(28535,697,11)
(54239,888,8)
(33048,23732,10)
(11463,31954,10)
(22260,30441,7)
(20201,3262,3)
(23416,21901,12)
(39860,15857,5)
(43380,58016,9)
(32656,15772,11)
(25486,32036,8)
(21014,13801,11)
(16061,12151,4)
(51987,12272,12)
(23676,42187,9)
(5688,28344,8)
(10972,9509,4)
(43601,43784,5)
(55584,10563,6)
(22734,4837,9)
(18739,27687,11)
(34309,2533,11)
(9247,2632,12)
(35862,14709,6)
(646,36764,2)
(50232,46480,4)
(3389,15130,9)
(43265,43557,3)
(48436,44781,9)
(42393,57245,3)
(29012,10328,12)
(5007,52805,9)
(40770,36235,5)
(30055,57798,2)
(42789,21615,4)
(2208,28287,10)
(40813,2703,9)
(37425,57156,5)
(52819,53819,3)
(45270,20001,17)
(30782,28085,15)
(33584,40549,14)
(13994,52659,4)
(19520,45037,5)
(51232,26682,15)
(31314,19549,3)
(23783,31820,10)
(823,24471,12)
(16103,48322,9)
(30267,34089,11)
(25741,3829,8)
(14607,23230,16)
(10653,6638,11)
(56515,14536,10)
(33579,37061,9)
(8907,36819,8)
(5660,55775,8)
(8966,41586,8)
(47004,38763,8)
(23139,56760,15)
(27334,45797,14)
(24252,45223,13)
(4407,24953,9)
(781,52336,0)
(7962,20674,6)
(7707,38584,6)
(58196,7036,5)
(24085,42894,1)
(11838,24658,15)
(54114,50515,16)
(26024,32026,10)
(2505,10131,8)
(21609,35552,6)
(15877,32231,8)
(14493,11935,14)
(52075,1667,5)
(37829,59883,9)
(5131,20462,9)
(20224,21315,10)
(20517,35934,2)
(15,49473,8)
(41453,23201,7)
(4564,7714,13)
(24101,17595,10)
(37819,26573,11)
(48334,59047,6)
(23328,179,11)
(49575,43962,3)
(35044,99,9)
(53786,55200,17)
(51891,43560,13)
(19556,35947,4)
(57530,49048,9)
(31176,33943,8)
(36068,6548,12)
(38308,52838,10)
(4842,8845,14)
(26401,21696,7)
(9255,4377,12)
(42880,49279,16)
(11575,20514,10)
(41745,780,3)
(8213,53282,11)
(29140,10822,11)
(22869,38215,13)
(30016,51230,7)
(14698,23257,10)
(47542,1686,7)
(40763,23830,9)
(59284,37176,10)
(27698,27637,9)
(55614,57796,17)
(28000,48099,2)
(43343,51479,9)
(34607,54295,11)
(23106,11817,7)
(11139,16392,10)
(5375,53460,1)
(30417,21911,5)
(14654,40929,6)
(27472,4459,11)
(31913,5562,6)
(1452,30554,5)
(30640,51848,5)
(24621,49307,6)
(36672,55553,15)
(47950,25463,12)
(49447,48606,14)
(19219,45967,12)
(27579,47090,11)
(11162,58912,7)
(28098,39348,8)
(18699,29995,13)
(18242,42064,15)
(2895,53675,8)
(43916,19902,9)
(16347,5056,10)
(54946,36516,6)
(52144,14854,7)
(20338,7967,9)
(24704,31974,15)
(57803,28439,5)
(59624,30602,7)
(21162,23725,14)
(35479,56819,11)
(59483,53099,14)
(58070,23158,13)
(26207,10835,11)
(28773,44311,10)
(18407,11798,8)
(15591,22276,10)
(57445,30392,13)
(39547,14690,16)
(48537,3188,6)
(59854,36657,2)
(31855,23116,3)
(29836,43174,15)
(27807,40254,9)
(37992,36055,5)
(23724,9814,8)
(18508,16774,8)
(26236,20871,14)
(14945,28312,5)
(58962,36905,8)
(7586,33856,9)
(27332,7185,1)
(2246,3347,10)
(37401,45390,11)
(41279,3177,10)
(37472,27605,14)
(36232,37847,9)
(320,55657,2)
(30329,22152,2)
(26287,21906,11)
(9769,14265,14)
(47688,28791,9)
(44624,33,17)
(50233,15215,14)
(11828,4106,6)
(19958,7936,14)
(47412,39165,11)
(4788,58888,17)
(48213,36651,11)
(50448,3479,8)
(18233,8944,8)
(4692,47791,8)
(12287,20487,7)
(56101,17585,0)
(15960,49887,14)
(14041,50226,10)
(2798,41826,10)
(8037,32980,11)
(51668,31829,9)
(48451,2326,7)
(42079,15625,14)
(54395,43816,5)
(50521,11435,9)
(51989,37486,7)
(50161,10077,11)
(57853,9730,8)
(20805,44501,8)
(15195,34806,14)
(58852,37744,9)
(16397,12179,13)
(54794,3159,5)
(14335,47509,10)
(18603,20970,2)
(44937,28667,4)
(7125,23093,7)
(14251,28103,10)
(11513,14596,5)
(33829,41364,15)
(155,31917,15)
(25215,11757,16)
(16651,17026,4)
(28713,44845,14)
(21701,48908,8)
(8077,19325,3)
(1323,57747,10)
(5531,57582,7)
(39071,50572,9)
(54693,49022,7)
(44773,52808,13)
(26429,23156,4)
(51083,3437,5)
(266,28115,11)
(45768,44267,9)
(34292,19781,18)
(11958,48230,8)
(48466,25077,10)
(52896,1467,10)
(55198,32818,5)
(13600,4253,15)
(51481,19056,11)
(57745,22820,14)
(40943,49912,12)
(33108,44385,4)
(24282,27208,10)
(22685,38068,10)
(36319,54396,16)
(50126,53280,16)
(15289,25090,14)
(9598,8124,8)
(55218,53013,10)
(5385,52327,9)
(53481,22860,6)
(10772,5609,17)
(53494,33474,8)
(29358,23262,13)
(57873,48534,5)
(43086,42962,12)
(49227,8781,10)
(7466,45074,9)
(49286,32096,4)
(20110,18864,6)
(30045,1021,9)
(1607,21764,7)
(42223,25389,2)
(29981,16589,10)
(5477,44725,2)
(3635,37849,6)
(11304,15122,7)
(3553,42729,8)
(51828,2831,1)
(50060,4659,12)
(21335,31662,9)
(19059,13465,13)
(33344,21129,6)
(35387,44343,17)
(35908,4115,1)
(15635,35144,11)
(59048,19598,8)
(12204,4705,10)
(12547,41673,11)
(56017,963,15)
(58141,44594,9)
(10906,38996,15)
(13757,24413,18)
(49795,26630,4)
(30910,58483,12)
(38457,2942,17)
(5203,33479,7)
(30382,21778,8)
(13327,54721,15)
(29624,29903,2)
(45002,8246,4)
(2371,59153,10)
(49185,40422,5)
(50134,58860,12)
(28986,19111,11)
(53962,19109,16)
(33785,42022,8)
(21637,693,5)
(24982,53978,7)
(39991,17821,10)
(31003,59288,7)
(43728,42191,7)
(6478,56128,7)
(30351,24485,7)
(28166,57637,5)
(14585,9609,2)
(7801,5390,11)
(24738,9633,10)
(46689,36938,7)
(13701,50077,9)
(10562,9607,6)
(46384,16011,9)
(58077,22999,6)
(51874,37537,12)
(42677,35838,8)
(38529,39520,6)
(57997,57425,9)
(30524,8949,8)
(156,1430,5)
(36422,36671,4)
(24047,42857,8)
(58087,51703,6)
(12229,30584,13)
(33540,32110,10)
(7279,32206,13)
(54242,4349,9)
(11001,57614,10)
(39042,59699,5)
(54686,23989,13)
(39531,52626,6)
(57566,33818,8)
(51400,10327,8)
(58376,1396,9)
(58039,17395,11)
(24113,42254,7)
(9436,20832,6)
(2044,55173,7)
(12753,35289,10)
(11284,47400,4)
(25905,20883,16)
(46848,35235,5)
(18756,43683,11)
(6854,31803,15)
(11662,18361,10)
(37765,44036,4)
(6657,4507,7)
(54861,33685,6)
(44009,36384,9)
(57501,12425,17)
(43576,42552,2)
(11632,49806,9)
(37202,22025,9)
(24209,21456,8)
(38957,52504,10)
(42238,41493,15)
(49936,26212,11)
(32303,13041,14)
(24810,50143,11)
(52282,56659,10)
(25290,33268,1)
(23153,25625,16)
(58990,59778,11)
(52837,52256,13)
(17200,33874,0)
(48246,53949,8)
(15583,33466,7)
(10005,21176,3)
(10826,55386,4)
(30516,50649,13)
(9630,17560,10)
(44628,47297,9)
(46930,8239,5)
(18916,44756,16)
(21784,50717,5)
(20418,7498,5)
(4805,25686,10)
(30434,9071,4)
(54980,13651,7)
(14439,14766,15)
(46254,17145,9)
(56751,44366,9)
(29558,28877,5)
(12219,45614,6)
(25990,24654,12)
(44680,20669,8)
(48383,25388,10)
(40244,50599,10)
(51401,54285,6)
(44960,40498,6)
(2908,6867,7)
(54726,40666,17)
(833,30643,8)
(36922,18531,18)
(33041,695,12)
(6837,45420,8)
(57428,12170,15)
(953,29673,4)
(54449,9228,14)
(17202,29165,11)
(57137,50286,10)
(14123,56990,6)
(40961,34078,8)
(5934,41538,11)
(24947,3566,18)
(50682,23723,10)
(9270,50009,11)
(51147,2666,7)
(37493,48932,11)
(54261,15996,14)
(4933,6696,8)
(44732,54913,11)
(9042,30970,8)
(34395,32651,14)
(14469,18690,12)
(41739,20648,9)
(22086,31701,10)
(12233,41841,9)
(12730,19078,12)
(55055,22131,12)
(57251,44143,7)
(20570,46729,6)
(1973,52181,11)
(53095,36927,14)
(54125,40458,11)
(14479,37616,13)
(33706,28281,7)
(42638,22179,5)
(43180,58093,9)
(17189,26767,7)
(44856,4466,10)
(30402,27034,6)
(18195,577,8)
(56461,49003,14)
(54214,18405,9)
(50276,52740,9)
(46613,34117,10)
(31880,42255,11)
(6004,50626,13)
(6047,36808,15)
(51394,49322,8)
(28701,22315,5)
(45116,24559,13)
(8466,50947,13)
(12370,7719,4)
(34281,42077,11)
(59799,54990,12)
(41203,59930,11)
(26234,31092,9)
(6498,38262,12)
(8862,20840,6)
(58693,36624,10)
(28403,195,9)
(38993,38780,6)
(38370,12735,10)
(23965,33224,8)
(49915,19336,8)
(38339,28891,10)
(15601,48157,18)
(51491,57647,1)
(56077,12190,15)
(46717,15046,7)
(57557,7682,14)
(42420,35799,11)
(57002,31567,4)
(46103,17185,8)
(30996,40042,1)
(13764,30340,0)
(28507,50893,12)
(32673,21843,11)
(4484,15109,4)
(18974,39923,8)
(4222,28957,12)
(51402,45202,14)
(44097,10288,14)
(1776,51648,10)
(5236,15779,2)
(14299,41287,10)
(47884,20923,12)
(13423,25813,13)
(30102,51797,2)
(5292,12848,13)
(18707,11259,4)
(17577,41481,12)
(33597,11976,15)
(38023,43959,14)
(57878,11151,11)
(50346,19062,14)
(16934,42847,15)
(46334,33811,6)
(54369,38725,17)
(36385,49054,10)
(16767,5992,14)
(12095,31070,2)
(26603,27206,6)
(1909,33581,10)
(24627,31664,3)
(41377,3399,13)
(59043,19097,2)
(26739,16890,9)
(30278,13093,8)
(15534,39387,10)
(30432,39775,7)
(6966,20623,12)
(49259,43216,8)
(45828,50418,15)
(10572,56036,13)
(39118,53398,8)
(4879,56350,13)
(19807,38289,8)
(48241,7610,14)
(45293,36767,15)
(40378,58884,9)
(23460,18367,9)
(24468,30024,15)
(7273,22579,8)
(31695,6939,3)
(51507,28573,10)
(34745,33076,8)
(30958,42065,3)
(59887,26250,10)
(51224,3717,14)
(3382,40693,10)
(39116,54963,4)
(54268,56286,16)
(29682,41967,7)
(40168,36429,12)
(5485,45168,14)
(27923,22157,12)
(48437,21418,12)
(37904,13389,8)
(13034,54128,11)
(13657,44876,2)
(43563,24137,11)
(37993,16533,11)
(49061,11707,10)
(45711,22198,7)
(29628,349,8)
(22966,39848,8)
(37466,49232,10)
(913,46877,12)
(59556,32211,8)
(19474,22071,7)
(9381,7287,12)
(290,19692,9)
(22671,53416,7)
(2487,58033,7)
(14457,8277,10)
(25683,10416,3)
(9988,41796,11)
(38168,25520,10)
(49620,29321,12)
(11660,2100,7)
(39353,19502,8)
(53863,8771,6)
(20657,45534,13)
(5691,22589,1)
(8367,759,12)
(54848,46602,11)
(48323,12114,8)
(56822,59770,13)
(27751,29242,2)
(3996,38469,3)
(39088,48477,16)
(2091,15379,8)
(2279,41446,6)
(12046,1536,11)
(17582,12350,6)
(21295,29214,9)
(46123,29336,9)
(55072,1414,15)
(15670,18026,13)
(19126,58060,11)
(851,5213,10)
(21297,26520,17)
(5958,49766,11)
(6541,10062,11)
(56915,58139,8)
(35975,24376,6)
(6299,34703,9)
(24713,49923,11)
(41102,37435,11)
(24881,57635,5)
(9624,34942,12)
(41442,3634,11)
(52897,37675,12)
(19766,56084,13)
(53985,46459,4)
(49294,46778,12)
(33536,35011,2)
(19215,8464,4)
(49499,56089,2)
(53320,59973,15)
(19639,30938,2)
(7969,30117,1)
(9430,53807,5)
(5659,33994,6)
(10895,26381,13)
(51789,8510,9)
(42785,56208,7)
(58670,30799,8)
(36138,6459,9)
(16481,28089,13)
(20698,20184,18)
(58304,23022,9)
(35790,42885,9)
(49432,40297,18)
(18811,5269,15)
(51505,8458,4)
(36265,2921,6)
(34035,20628,9)
(1842,17862,8)
(39286,19169,12)
(36681,52767,13)
(54184,7631,6)
(10639,19451,10)
(8529,39606,1)
(46311,6270,9)
(29531,28159,12)
(11359,17971,10)
(55058,48131,6)
(10271,27719,8)
(23406,1336,7)
(4457,23774,8)
(14725,59215,9)
(39866,53877,10)
(3714,20241,10)
(31962,12760,7)
(33699,29984,16)
(10664,53407,0)
(45870,276,6)
(10751,56296,13)
(567,58755,13)
(57696,684,10)
(40803,32744,2)
(53603,2677,15)
(34930,31165,9)
(3654,50051,7)
(34257,45617,8)
(13837,33577,3)
(3337,38410,3)
(45810,2132,12)
(6726,21656,14)
(53047,45647,14)
(20356,23790,9)
(2609,3350,11)
(20137,15575,7)
(3936,8661,14)
(30143,44418,2)
(57655,10865,11)
(21439,10477,7)
(58446,10998,11)
(14653,28190,6)
(39191,31725,15)
(2839,57780,1)
(9140,1950,12)
(13384,7973,3)
(11978,11204,10)
(49426,28136,14)
(13396,39111,17)
(44544,3810,7)
(56573,49004,6)
(43991,305,10)
(29757,30670,10)
(16611,35828,14)
(514,25540,6)
(11944,37739,7)
(9577,22858,13)
(54349,2920,1)
(23587,5250,6)
(34909,45669,7)
(38190,7271,6)
(52569,53058,2)
(16447,43649,3)
(31626,33514,14)
(30398,53003,10)
(35692,42162,9)
(59582,56312,6)
(31524,41132,17)
(6283,25943,10)
(272,15782,12)
(21842,36807,18)
(18926,9409,6)
(27545,5420,10)
(49890,38189,10)
(19074,31768,5)
(46703,57469,9)
(44220,8768,5)
(35499,32496,8)
(30653,1574,9)
(29725,676,7)
(57011,51952,5)
(12928,38226,9)
(41494,35748,7)
(34447,53336,12)
(54006,36063,14)
(15992,49066,6)
(8164,3039,7)
(33006,59272,6)
(51545,55226,15)
(51289,24897,11)
(30039,54920,12)
(33217,4357,14)
(55139,58666,11)
(18223,35242,12)
(41403,18225,12)
(2756,20099,9)
